date,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WMT,XOM
2000-01,0.0630429676011561,0.014573894963697601,0.01506395579371765,0.01642016906104558,0.022172324683179576,0.007978976812965454,0.014388150551123132,0.053207795804286785,0.011092411089684364,0.022512143996555937,0.019763428605200608,0.014302195635310109,0.04162675617064064,0.016169430004243607,0.020418208974273017,0.020502288173362433,0.023331217561364033,0.018490698427418233,0.019058731703355286,0.015359674423136608,0.018680306705983692,0.015406753017601747,0.02598153408385784,0.011744837843083621,0.024097987936449395,0.0,0.0,0.01455140623722341,0.02124822130592855,0.012881906121050323
2000-02,0.02185687975788387,0.021209847113569342,0.021870053876710586,0.01783614835913598,0.031246137865430155,0.012432208908415215,0.016032000078130708,0.018370489011905314,0.01221204314908925,0.017129822050893008,0.023851921376625167,0.010182121259858332,0.015183592124905741,0.006861330664843191,0.011975212846431644,0.008132690431368474,0.008479215371728384,0.01492345476587164,0.0161171605703765,0.017374814242596143,0.06750280901521184,0.010848831739858346,0.010736473136956626,0.013099931768274896,0.031081311659658117,0.0,0.0,0.01223569851086031,0.04168117575207059,0.010981364596611093
2000-03,0.059336950486340495,0.016868572046990295,0.017087581734127305,0.02662047392454683,0.022130080929819232,0.017888355253173855,0.046058633620139976,0.017758391476326192,0.021592986426924744,0.042709361532471395,0.02719099838089007,0.01863403083488696,0.01934391407758842,0.025943866902406174,0.030576562235697,0.02748913287975507,0.022895786025621874,0.02094171393723734,0.03159648699354863,0.029980597163794125,0.04518063589197843,0.025751094869450666,0.1503574535459006,0.04009789002746179,0.02594379116851165,0.0,0.0,0.02125407288689468,0.028919865590542083,0.019874355331893332
2000-04,0.04516181240612511,0.026209050571333374,0.022297804277971744,0.01671552763780306,0.053180041327102766,0.008523380686067533,0.01839434148460551,0.016009001868818748,0.012847639060086595,0.06588261894689648,0.02018703385016765,0.020353626753955356,0.04809249334402764,0.016178482767437087,0.021331425479076016,0.024156694744739117,0.02534114957708864,0.013739634567239539,0.014827524216529692,0.07250413419115542,0.01583397801593853,0.013857993319569092,0.04556486624861752,0.021137794531815704,0.011325034911733842,0.0,0.0,0.007470575725230634,0.026517075587015666,0.009316763962018413
2000-05,0.03422120593861321,0.01706831065998412,0.010057612109854112,0.008537314714817059,0.05326452156963885,0.006190761374166306,0.015664227703410225,0.011137172855649243,0.00956769714220768,0.02492096210132972,0.016943294500866842,0.011864375860840519,0.0425003566211409,0.005377514838520782,0.010762648238493886,0.017692841945580285,0.013520442173048318,0.008747989324734811,0.0062365266610586055,0.016500751495265944,0.02242021927059255,0.008410823922862328,0.0026886308151197035,0.010064615302317862,0.012760079751032015,0.0,0.0,0.011184755111236457,0.02506179898884657,0.004027157108444036
2000-06,0.0414950662328487,0.020962567550287796,0.009525903584361388,0.010683949034463467,0.021167380917670692,0.0032354243840755827,0.01461187477200206,0.00833787680269022,0.009666791203461308,0.03044344138503956,0.02403590276057783,0.02039982134346624,0.01731206067811958,0.011562382170460492,0.017478067329099484,0.01169422132420547,0.012114807231249192,0.0077805562095179205,0.010205283184863714,0.01656721971185524,0.018418313173486592,0.010072064565001308,0.013008281178614632,0.014014680053734112,0.007492637542501613,0.0,0.0,0.009373826806280863,0.01782548716241498,0.007277068649814921
2000-07,0.03888836051472905,0.011950962336310449,0.005122809344524801,0.013981885278229944,0.022620188518314446,0.00798105278097937,0.023808009848409632,0.010628652586926298,0.010136267760497182,0.012494663106568712,0.013005764185750057,0.015990803812035936,0.01434125775761703,0.0069288062825335,0.009672415090957351,0.007458567592205328,0.004494832167077517,0.006485417310464929,0.015923933895242777,0.011648067071542794,0.010123734721271635,0.017973043288760752,0.0053511435283055825,0.016223319323948597,0.013267278988005381,0.0,0.0,0.024073382817203153,0.014023857747132985,0.007566043954497298
2000-08,0.015871035876248732,0.008595525325572015,0.013029651839236864,0.008902078375703042,0.016358384829425747,0.0047783449825101795,0.005820923548669118,0.007946273209800007,0.007304906630194215,0.021566909219198387,0.02382412888028365,0.0056483958833375425,0.012529452639749078,0.0035760937881050745,0.01241299037637117,0.008913735917601199,0.005711365205869207,0.0024492396065883305,0.004416509393500076,0.005530009626723238,0.024940844993866097,0.013131538670555972,0.006588121796908807,0.006227297615378765,0.007333340345171742,0.0,0.0,0.028975256132840018,0.0175275860952021,0.0036435162982721443
2000-09,0.5827689701658758,0.006855649450995688,0.010453900808928966,0.01709795019499978,0.02666175532792818,0.0056488107186358424,0.010112515162101817,0.008944100519423497,0.0043321070089362155,0.018399712293281675,0.012589691737851608,0.0075636276650536405,0.09596652898609911,0.0041411865314245015,0.020320215200767374,0.015868381294058077,0.01316117825117929,0.007923953369083466,0.007808189662414852,0.007191872918623961,0.039560286724734724,0.009836995748169096,0.009786871396703183,0.010079093593262346,0.007635486113095055,0.0,0.0,0.016531089670945378,0.009616053890730222,0.003774153875448574
2000-10,0.053916363987418864,0.022920759092789955,0.025054541288878303,0.0226016429278609,0.06619450382959258,0.005068141277208327,0.031510451530494386,0.017201581538987862,0.01945119444070158,0.03585092509005041,0.14111687579981722,0.05793949886777217,0.05670275885608523,0.006816713760962153,0.026579983017782922,0.008055914385312618,0.00914074860089415,0.005874423371731638,0.007135779155634665,0.052029663744611786,0.020338593070879665,0.018484282724837337,0.016242729355439973,0.01298913243752491,0.020959735143492562,0.0,0.0,0.01648283293811345,0.0171166745575907,0.0063893666516718645
